"","date","close_prev"
"450",2013-02-01,16.95
"451",2013-02-04,16.9
"452",2013-02-05,16.8
"453",2013-02-06,16.81
"454",2013-02-07,16.78
"455",2013-02-08,17.19
"456",2013-02-18,17.2
"457",2013-02-19,17.42
"458",2013-02-20,17.62
"459",2013-02-21,18.47
"460",2013-02-22,18.93
"461",2013-02-25,19.5
"462",2013-02-26,19.58
"463",2013-02-27,18.64
"464",2013-02-28,18.03
"465",2013-03-01,18.81
"466",2013-03-04,19.1
"467",2013-03-05,19
"468",2013-03-06,19.19
"469",2013-03-07,18.4
"470",2013-03-08,18.81
"471",2013-03-11,18.74
"472",2013-03-12,19.1
"473",2013-03-13,19.23
"474",2013-03-14,20.49
"475",2013-03-15,20.75
"476",2013-03-18,22.36
"477",2013-03-19,22.7
"478",2013-03-20,21.2
"479",2013-03-21,21.63
"480",2013-03-22,23.25
"481",2013-03-25,22.53
"482",2013-03-26,23.2
"483",2013-03-27,24.11
"484",2013-03-28,24.08
"485",2013-03-29,23.29
"486",2013-04-01,22.62
"487",2013-04-02,23.74
"488",2013-04-03,22.86
"489",2013-04-08,21.51
"490",2013-04-09,22.24
"491",2013-04-10,21.71
"492",2013-04-11,21.6
"493",2013-04-12,21.61
"494",2013-04-15,21.63
"495",2013-04-16,20.6
"496",2013-04-17,20.68
"497",2013-04-18,21.08
"498",2013-04-19,21.03
"499",2013-04-22,21.15
"500",2013-04-23,22.72
"501",2013-04-24,20.45
"502",2013-04-25,18.58
"503",2013-04-26,17.43
"504",2013-05-02,17.55
"505",2013-05-03,16.92
"506",2013-05-06,17.48
"507",2013-05-07,17.91
"508",2013-05-08,17.52
"509",2013-05-09,17.87
"510",2013-05-10,18.1
"511",2013-05-13,18.1
"512",2013-05-14,17.95
"513",2013-05-15,17.56
"514",2013-05-16,17.13
"515",2013-05-17,17.85
"516",2013-05-20,19.07
"517",2013-05-21,19.78
"518",2013-05-22,19.88
"519",2013-05-23,19.6
"520",2013-05-24,19.58
"521",2013-05-27,20.14
"522",2013-05-28,20.94
"523",2013-05-29,20.38
"524",2013-05-30,20.39
"525",2013-05-31,20.41
"526",2013-06-03,19.67
"527",2013-06-04,19
"528",2013-06-05,18.38
"529",2013-06-06,18.44
"530",2013-06-07,17.99
"531",2013-06-13,18
"532",2013-06-14,17.68
"533",2013-06-17,18.23
"534",2013-06-18,18.67
"535",2013-06-19,18.29
"536",2013-06-20,17.96
"537",2013-06-21,17.04
"538",2013-06-24,16.35
"539",2013-06-25,15.33
"540",2013-06-26,15.5
"541",2013-06-27,15.4
"542",2013-06-28,14.79
"543",2013-07-01,14.45
"544",2013-07-02,13.85
"545",2013-07-03,14.32
"546",2013-07-04,13.99
"547",2013-07-05,14
"548",2013-07-08,14.36
"549",2013-07-09,13.7
"550",2013-07-10,13.2
"551",2013-07-11,13.5
"552",2013-07-12,14.09
"553",2013-07-15,14.06
"554",2013-07-16,15.45
"555",2013-07-17,15.73
"556",2013-07-18,15.47
"557",2013-07-19,15.56
"558",2013-07-22,15.38
"559",2013-07-23,15.3
"560",2013-07-24,16.2
"561",2013-07-25,17.34
"562",2013-07-26,17.32
"563",2013-07-29,16.43
"564",2013-07-30,16.25
"565",2013-07-31,15.86
"566",2013-08-01,16.12
"567",2013-08-02,16.29
"568",2013-08-05,15.62
"569",2013-08-06,15.6
"570",2013-08-07,16.25
"571",2013-08-08,15.88
"572",2013-08-09,15.75
"573",2013-08-12,16.26
"574",2013-08-13,16.34
"575",2013-08-14,16.22
"576",2013-08-15,15.96
"577",2013-08-16,15.64
"578",2013-08-19,14.5
"579",2013-08-20,14.62
"580",2013-08-21,15.06
"581",2013-08-22,14.84
