date,open,high,low,close,close_prev,change_pct,volume,amount
2019/8/28,3818.8125,3822.5883,3790.1384,3802.5844,3816.9459,-0.3763,88750812,1.38E+11
2019/8/29,3805.494,3808.5954,3774.3968,3790.1867,3802.5844,-0.326,84083387,1.26E+11
2019/8/30,3816.678,3828.9698,3778.9189,3799.5863,3790.1867,0.248,96695150,1.52E+11
2019/9/2,3803.689,3855.7768,3799.8166,3848.3198,3799.5863,1.2826,110289349,1.65E+11
2019/9/3,3852.5794,3856.6813,3833.7571,3853.6106,3848.3198,0.1375,97714631,1.46E+11
2019/9/4,3848.6483,3886.0012,3846.4215,3886.0012,3853.6106,0.8405,126628615,1.77E+11
2019/9/5,3909.2087,3970.0038,3909.2087,3925.323,3886.0012,1.0119,181656231,2.45E+11
2019/9/6,3946.6854,3948.5397,3922.3361,3948.5075,3925.323,0.5906,121882376,1.82E+11
2019/9/9,3980.9577,3985.239,3954.8755,3972.9484,3948.5075,0.619,146809754,2.10E+11
2019/9/10,3976.8697,3976.9225,3938.7441,3959.265,3972.9484,-0.3444,130889386,1.84E+11
2019/9/11,3969.6757,3971.2237,3922.9531,3930.0999,3959.265,-0.7366,131594875,1.90E+11
2019/9/12,3944.6917,3975.9311,3933.4366,3972.3799,3930.0999,1.0758,110241273,1.57E+11
2019/9/16,3981.3616,3982.204,3943.3734,3957.7154,3972.3799,-0.3692,110259805,1.55E+11
2019/9/17,3947.1577,3947.1577,3879.4852,3891.2208,3957.7154,-1.6801,113694317,1.55E+11
2019/9/18,3902.9947,3923.1462,3902.5109,3910.0837,3891.2208,0.4848,82056152,1.30E+11
2019/9/19,3923.9631,3924.3823,3897.0666,3924.3823,3910.0837,0.3657,85984238,1.27E+11
2019/9/20,3933.4594,3942.224,3921.4124,3935.6511,3924.3823,0.2871,103455955,1.53E+11
2019/9/23,3925.1858,3925.1858,3868.214,3890.6616,3935.6511,-1.1431,94036225,1.39E+11
2019/9/24,3895.8661,3927.0115,3886.1404,3901.0758,3890.6616,0.2677,87783230,1.42E+11
2019/9/25,3887.5548,3889.839,3867.2277,3870.9837,3901.0758,-0.7714,89520835,1.33E+11
2019/9/26,3884.7022,3890.7452,3840.2472,3841.1388,3870.9837,-0.771,102698301,1.51E+11
2019/9/27,3843.4584,3859.5003,3832.2466,3852.6534,3841.1388,0.2998,74003947,1.09E+11
2019/9/30,3842.0741,3857.2319,3813.5491,3814.5282,3852.6534,-0.9896,65931313,1.00E+11
2019/10/8,3818.5894,3861.6429,3818.5894,3837.6791,3814.5282,0.6069,76657860,1.18E+11
2019/10/9,3822.6068,3845.3403,3805.0671,3843.2392,3837.6791,0.1449,75854512,1.12E+11
2019/10/10,3838.4865,3877.142,3829.4328,3874.6391,3843.2392,0.817,79222694,1.27E+11
2019/10/11,3885.5198,3922.3694,3868.8417,3911.7253,3874.6391,0.9572,93412577,1.40E+11
2019/10/14,3944.8593,3983.8117,3934.7325,3953.2411,3911.7253,1.0613,122393611,1.68E+11
2019/10/15,3953.1645,3953.1645,3928.151,3936.2498,3953.2411,-0.4298,85273949,1.25E+11
2019/10/16,3939.276,3964.0456,3919.0169,3922.6854,3936.2498,-0.3446,83229707,1.29E+11
2019/10/17,3929.386,3935.8123,3913.9173,3925.2216,3922.6854,0.0647,64863745,99991850409
2019/10/18,3935.4199,3940.5409,3864.9652,3869.3777,3925.2216,-1.4227,82321140,1.22E+11
2019/10/21,3865.3436,3884.7447,3856.0374,3880.8398,3869.3777,0.2962,74182918,1.11E+11
2019/10/22,3896.3149,3897.4352,3870.5486,3895.8809,3880.8398,0.3876,68918566,1.03E+11
2019/10/23,3892.6766,3901.4243,3862.1965,3871.0848,3895.8809,-0.6365,70198625,99733598353
2019/10/24,3877.9239,3890.1955,3852.5828,3870.6678,3871.0848,-0.0108,71334575,1.05E+11
2019/10/25,3871.7687,3899.7223,3849.0337,3896.7923,3870.6678,0.6749,77453620,1.27E+11
2019/10/28,3904.9824,3927.7959,3897.8175,3926.585,3896.7923,0.7645,97406020,1.51E+11
2019/10/29,3929.7077,3932.3745,3910.226,3910.226,3926.585,-0.4166,82257075,1.40E+11
2019/10/30,3904.7172,3908.0999,3883.4468,3891.2255,3910.226,-0.4859,77872923,1.23E+11
2019/10/31,3906.8593,3907.1505,3878.8757,3886.7519,3891.2255,-0.115,86714539,1.35E+11
2019/11/1,3883.8084,3956.0797,3876.4164,3952.3872,3886.7519,1.6887,100689612,1.51E+11
2019/11/4,3964.0052,3985.3573,3964.0052,3978.1216,3952.3872,0.6511,104193855,1.54E+11
2019/11/5,3982.1155,4030.6381,3970.8664,4002.8128,3978.1216,0.6207,112911880,1.63E+11
2019/11/6,4006.327,4007.5012,3973.7762,3984.8816,4002.8128,-0.448,97312952,1.40E+11
